Vnum	Name	Type	SubType	Size	AntiFlags	Flags	WearFlags	ImmuneFlags	ShopBuyPrice	ShopSellPrice	RefinedVnum	RefineSet	67AttrMaterial	AlterToMagicItemPercent	LimitType0	LimitValue0	LimitType1	LimitValue1	ApplyType0	ApplyValue0	ApplyType1	ApplyValue1	ApplyType2	ApplyValue2	ApplyType3	ApplyValue3	Value0	Value1	Value2	Value3	Value4	Value5	Value6	Value7	Value8	Value9	Specular	GainSocketPercent	AddonType
1	µ·²Ù·¯¹Ì	ITEM_ELK	0	1	NONE	NONE	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	ÇÑ±¹¹«½Ö¹öÁ¯	ITEM_NONE	0	1	NONE	NONE	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	µµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	11	1	39070	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	0	0	0	0	0	0	1	0
11	µµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	100	12	2	39070	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	7	0	0	0	0	0	1	0
12	µµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	100	13	3	39070	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	14	0	0	0	0	0	1	0
13	µµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	150	14	4	39070	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	21	0	0	0	0	0	1	0
14	µµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	150	15	5	39070	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	28	0	0	0	0	30	1	0
15	µµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	200	16	6	39070	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	35	0	0	0	0	40	1	0
16	µµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	250	17	7	39070	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	42	0	0	0	0	50	1	0
17	µµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	350	18	8	39070	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	49	0	0	0	0	65	1	0
