ACCE_ABSORB_COST	Kombinasyon maliyeti: %d
ACCE_ALREADY_REGISTER	Bu eþya zaten kullanýldý.
ACCE_DEL_ABSORDITEM	Nesneyi em ve yok et?
ACCE_DEL_SERVEITEM	Kombinasyon baþarýsýz olursa kuþak 2 yok edilir.
ACCE_DEL_SERVEITEM2	Kombinasyon baþarýsýz olursa kuþak 2 yok edilir.
ACCE_INITEM	Nesneleri pencereye çek.
ACCE_MAXGRADE	Bu kiþiye özel üretimdir.
ACCE_MAX_DRAINRATE	Maksimum emiþ oraný
ACCE_NOTABSORBITEM	Emilmiþ olan bir silah veya zýrhý kullanamazsýn.
ACCE_NOT_SEALITEM	Ruha baðlý nesneler kullanamazsýn.
ACCE_NOT_USINGITEM	Kuþanýlan bir nesne kombine edilemez.
ACCE_NOT_WINDOWOPEN	Kombinasyon penceresi açýkken bu nesneyi kullanamazsýn.
ACCE_POSSIBLE_ACCE	Sadece omuz kuþaklarý kullanabilirsin.
ACCE_POSSIBLE_ACCEITEM	Bonusu sadece silah ve zýrhlardan elde edebilirsin.
AFF_LOVE_POINT	Sevgi Puaný: %%%d
ALIGNMENT_NAME	Sýralamasý Puanlarý:
alsoExportToCharset	windows-1254
ATTACK_ERROR_UNKNOWN	Bilinmeyen Saldýrý Hatasý: %s
ATTENDANCE_REWARD_QUESTION	Ödülünü almak ister misin?
ATTR_6TH_7TH_ADD_QUESTION1	Bir bonus eklenirken bu eþyayý kullanamazsýn.
ATTR_6TH_7TH_ADD_QUESTION2	Bonusu gerçekten eklemek istiyor musun?
ATTR_6TH_7TH_CHANGE_FAIL	Bonusu deðiþtiremezsin.
ATTR_6TH_7TH_DESC1	a. 6. ve 7. bonuslarý ekleyebilmek için eþyaya gerekli malzemeleri eklemelisin.
ATTR_6TH_7TH_DESC2	b. Her parça, baþarý oranýný %2 artýrýr.
ATTR_6TH_7TH_DESC3	c. Baþarý oranýný ayrýca artýrmak için ekleme kullan.
ATTR_6TH_7TH_DESC4	d. Bonus 24 saatte eklenir. Bonusun eklendiði eþya önce YZK'da kalýr. Süreç tamamlandýktan sonra eþyaný tekrar alabilirsin.
ATTR_6TH_7TH_POSSIBILITY	Bir ekstra bonus ekleyebilirsin.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Baþarý olasýlýðý: %.1f%%
AURA_CLEAR_CANNOT_USE_SEALED_ITEM	Ruha baðlý bir nesnenin deðerleri deðiþtirilemez.
AURA_CLEAR_QUESTION_WHEN_USE	Toplanan deðerleri kaldýrmak istiyor musun? Kurtarýlamazlar.
AURA_DRAIN_PER	Emiþ oraný %%%.1f
AURA_EVOLUTION_GOLD	[Aura] Geliþim için yeterli Yang yok.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Daha fazla bonus aktarýlamaz.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Kuþanýlan eþyalar aktarýlamaz.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Geliþtirilemez.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Eþya sayýsý geliþtirmek için yeterli deðil.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Yükseltilemez.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Sadece aura giysisi, kalkan, kolye, küpe ve bileklik mümkün.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Ruha baðlý eþyalar aktarýlamaz.
AURA_ITEM_NEED_REGISTER	[Aura] Eþyalar eklenmeli.
AURA_LEVEL_STEP	Sv %d (Seviye %d)
AURA_MAX_LEVEL	[Aura] Aura giysisi maksimum seviyeye sahip.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Aktarýlan eþya imha edilir.
AURA_OPEN_OTHER_WINDOW	Bir yükseltme, geliþtirme veya deðer aktarma penceresi açýkken bunu yapamazsýn.
AURA_POSSIBLE_AURAITEM	[Aura] Sadece aura giysisi mümkün.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Aura giysisi önce eklenmeli.
AURA_TITLE_ABSORB	Deðerleri aura giysisine aktar.
AURA_TITLE_EVOLUTION	Aura giysisini geliþtir
AURA_TITLE_GROWTH	Aura giysisini yükselt
AURA_TOOLTIP_EXP	EXP (%%%d / %%100)
AURA_TOOLTIP_LEVEL	Sv %d (Seviye %d) (Emiþ oraný %%%.1f)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Yeni
AURA_TOOLTIP_NOW	Güncel
AURA_TOOLTIP_RESOURCE	Tüketim nesnesi
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_CLEAR	Sýfýrla
AUTO_TOOLTIP_LINE1	Beceriler: Savaþ için beceriler seç ve onlarý boþluklara çek. (Premium)
AUTO_TOOLTIP_LINE2	Not: Becerilerin altýnda etkinleþtirme sýklýðýný (saniye olarak) ayarlayabilirsin.
AUTO_TOOLTIP_LINE3	Ýksirler: Savaþ için iksirler seç ve onlarý boþluklara çek. (Premium)
AUTO_TOOLTIP_LINE4	Not: HP ve SP iksirleri iksirin altýnda bulunan % deðerinin altýna düþüldüðünde etkinleþir.
AUTO_TOOLTIP_LINE5	Not: Becerilerin, iksirlerin ve canlandýrmalarýn otomatik kullanýmý Nesne Market'te etkinleþtirilebilir.
AUTO_TOOLTIP_TITLE	Otomatik Av Yardýmý
BATTLE_MAP_NAME_AREA_1	Bölge 1
BATTLE_MAP_NAME_AREA_2	Bölge 2
BATTLE_MAP_NAME_AREA_3	Bölge 3
BATTLE_MAP_NAME_AREA_4	Bölge 4
BATTLE_MAP_NAME_AREA_5	Bölge 5
BATTLE_MAP_NAME_AREA_6	Bölge 6
BATTLE_MAP_NAME_AREA_7	Bölge 7
BATTLE_MAP_NAME_AREA_8	Bölge 8
BATTLE_MAP_NAME_AREA_9	Bölge 9
BATTLE_POINT	Savaþ Puanlarý
BATTLE_ROYALE_ALIVE_COUNT	Hayatta kalanlar: %d
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_CANNOT_OPEN_MALL	Bunu burada açamazsýn.
BATTLE_ROYALE_KILL_COUNT	Maðlup edilen rakipler: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Katýl
BATTLE_ROYALE_MAINBUTTON_CANCEL	Ýptal et
BATTLE_ROYALE_MAINBUTTON_EXIT	Çýk
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Baþla
BATTLE_ROYALE_NOTIFY_APPLICATED	Battle Royale için kaydoldun. Yeterli katýlýmcý olduðu anda katýlabilirsin.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	Battle Royale kayýtlarý kapandý.
BATTLE_ROYALE_NOTIFY_STARTABLE	Þimdi dem Battle Royale'e katýlabilirsin. Katýlmak için etkinlik butonuna bas.
BATTLE_ROYALE_NOTIFY_WINNER	Kazandýn.
BATTLE_ROYALE_PERSONAL_RANK	Kiþisel sýralama: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Sonsuz dayanýklýlýk kullanmak ister misin?
BATTLE_ROYALE_WHO_KILLED	Seni öldüren oyuncu: %s
BATTLE_ROYALE_WINNER_1	Battle Royale'i kazandýn!
BATTLE_ROYALE_WINNER_2	Birazdan köye ýþýnlanacaksýn.
BEAD	Animasfer
BEAD_TIME_REMAINING_TO_GET	Animasferin yüklenmesine kalan süre: %d dak.
BELT_RENEWAL_BANN_SIGN	Devam edemezsin.
BELT_RENEWAL_INVENTORY_FULL	Envanterinde yeterli alan yok.
BNW_COIN	Kahin Jetonu
BUY_LIMIT_LEVEL	Satýn alma limiti: %s
CANNOT_ATTACK_DEST_IN_SAFE	Þavasçý çok uzakta.
CANNOT_ATTACK_SELF_IN_SAFE	Saldýramam.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Özel bir dükkân açtýðýn sürece baþka bir þey yapamazsýn.
CANNOT_EQUIP_IN_EXCHANGE	Ticaret yaparken zýrhýný deðiþtiremezsin.
CANNOT_EQUIP_IN_SHOP	Ticaret yaparken zýrhýný deðiþtiremezsin.
CANNOT_FISHING_RIDE_MOUNT	Binek hayvanýn üzerindeyken balýkçýlýk yapamazsýn.
CANNOT_FISHING_WHILE_POLY	Dönüþmüþ halde balýk tutamazsýn.
CANNOT_ILLUSTRATIONPAGE_WARP	Canavar kartý ýþýnlanmasýný burada kullanamazsýn.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Genel alanda özel depo açamazsýn.
CANNOT_PVP_MAP_MESSAGE	Bunu bu bölgede yapamazsýn.
CANNOT_SHOOT_DEST_IN_SAFE	Düþman çok uzakta.
CANNOT_SHOOT_EMPTY_ARROW	Bir oka ihtiyacým var.
CANNOT_SHOOT_SELF_IN_SAFE	Bunu yapamam.
CANNOT_SKILL_APPROACH	Eminim daha fazla yaklaþamam.
CANNOT_SKILL_ATTACK	Saldýramam.
CANNOT_SKILL_BLUE	Kýrmýzý kurt ruhu etkinken, çivit kurt ruhunu kullanamazsýn.
CANNOT_SKILL_DEST_IN_SAFE	Düþman çok uzakta.
CANNOT_SKILL_EQUIP_FISHING_ROD	Bir olta kuþanmadan balýk tutamazsýn.
CANNOT_SKILL_HAVE_TO_RIDE	Bunu kullanmadan önce bir ata ihtiyacým var.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Boþ bir þiþem yok.
CANNOT_SKILL_NEED_POISON_BOTTLE	Zehirli þiþem yok.
CANNOT_SKILL_NEED_TARGET	Hedef kim?
CANNOT_SKILL_NOT_ENOUGH_HP	Yeterli HP yok!
CANNOT_SKILL_NOT_ENOUGH_SP	Yeterli SP yok!
CANNOT_SKILL_NOT_HORSE_SKILL	Bunu at sürerken kullanamam.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Bu beceriyi bu silahla kullanamam.
